ident,type,name,elevation_ft,continent,iso_country,iso_region,municipality,gps_code,local_code,coordinates
0,55113,55120,45,107303,107310,107549,110346,0,0,145639
1,55114,55121,3196,107303,107310,107550,110347,1,1,145640
2,55114,55122,484,107303,107310,107551,110348,2,2,145641
3,55114,55123,854,107303,107310,107552,110349,3,3,145642
4,55115,55124,271,107303,107310,107553,110350,111581,111581,145643
5,55114,55125,1134,107303,107310,107554,110351,5,5,145644
6,55114,55126,3453,107303,107310,107555,110352,6,6,145645
7,55114,55127,2895,107303,107310,107556,110353,7,7,145646
8,55114,55128,121,107303,107310,107556,110354,8,8,145647
9,55113,55129,3137,107303,107310,107556,110355,9,9,145648
10,55115,55130,4085,107303,107310,107557,110356,111581,111581,145649
11,55114,55131,87,107303,107310,107558,110357,11,11,145650
12,55113,55132,59,107303,107310,107558,110358,12,12,145651
13,55114,55133,69,107303,107310,107558,110359,13,13,145652
14,55114,55134,734,107303,107310,107559,110360,14,14,145653
15,55113,55135,991,107303,107310,107559,110361,15,15,145654
16,55113,55136,77,107303,107310,107560,110362,16,16,145655
17,55114,55137,2061,107303,107310,107561,110363,17,17,145656
18,55114,55138,3143,107303,107310,107550,110364,18,18,145657
19,55113,55139,634,107303,107310,107562,110365,19,19,145658
20,55114,55140,874,107303,107310,107563,110366,20,20,145659
21,55113,55141,668,107303,107310,107562,110367,21,21,145660
22,55114,55142,854,107303,107310,107563,110368,22,22,145661
23,55114,55143,1134,107303,107310,107550,110369,23,23,145662
24,55114,55144,1298,107303,107310,107564,110370,24,24,145663
25,55113,55145,49,107303,107310,107565,110371,25,25,145664
26,55113,55146,634,107303,107310,107563,110372,26,26,145665
27,55114,55147,46,107303,107310,107565,110373,27,27,145666
28,55114,55148,79,107303,107310,107566,110374,28,28,145667
29,55113,55149,622,107303,107310,107567,110375,29,29,145668
30,55114,55150,1397,107303,107310,107568,110376,30,30,145669
31,55114,55151,1004,107303,107310,107569,110377,31,31,145670
32,55115,55152,2536,107303,107310,107570,110378,111581,111581,145671
33,55114,55153,139,107303,107310,107571,110379,33,33,145672
34,55114,55154,382,107303,107310,107572,110380,34,34,145673
35,55113,55155,112,107303,107310,107571,110381,35,35,145674
36,55116,55156,130,107303,107310,107573,110382,36,36,145675
37,55114,55157,1034,107303,107310,107573,110383,37,37,145676
38,55114,55158,819,107303,107310,107574,110384,38,38,145677
39,55113,55159,939,107303,107310,107574,110385,39,39,145678
40,55114,55160,994,107303,107310,107554,110386,40,40,145679
41,55113,55161,229,107303,107310,107575,110387,41,41,145680
42,55113,55162,436,107303,107310,107549,110388,42,42,145681
43,55114,55163,1333,107303,107310,107549,110389,43,43,145682
44,55115,55164,849,107303,107310,107549,110390,111581,111581,145683
45,55114,55165,1647,107303,107310,107575,110391,45,45,145684
46,55114,55166,184,107303,107310,107576,110392,46,46,145685
47,55114,55167,1618,107303,107310,107577,110393,47,47,145686
48,55113,55168,632,107303,107310,107578,110394,48,48,145687
49,55113,55169,634,107303,107310,107578,110394,49,49,145688
50,55114,55170,1134,107303,107310,107579,110395,50,50,145689
51,55114,55171,704,107303,107310,107578,110396,51,51,145690
52,55115,55172,53,107303,107310,107578,110397,111581,111581,145691
53,55115,55173,4713,107303,107310,107580,110398,111581,111581,145692
54,55114,55174,585,107303,107310,107581,110399,54,54,145693
55,55114,55175,2606,107303,107310,107581,110400,55,55,145694
56,55114,55176,753,107303,107310,107582,110401,56,56,145695
57,55114,55177,184,107303,107310,107582,110402,57,57,145696
58,55114,55178,894,107303,107310,107583,110403,58,58,145697
59,55114,55179,2786,107303,107310,107582,110404,59,59,145698
60,55114,55180,2057,107303,107310,107584,110405,60,60,145699
61,55113,55181,4300,107303,107310,107585,110406,61,61,145700
62,55114,55182,2948,107303,107310,107578,110407,62,62,145701
63,55114,55183,1954,107303,107310,107551,110408,63,63,145702
64,55113,55184,154,107303,107310,107551,110409,64,64,145703
65,55114,55185,378,107303,107310,107552,110410,65,65,145704
66,55113,55186,434,107303,107310,107553,110411,66,66,145705
67,55113,55187,3101,107303,107310,107555,110412,67,67,145706
68,55115,55188,849,107303,107310,107567,110413,68,68,145707
69,55113,55189,3404,107303,107310,107556,110414,69,69,145708
70,55114,55190,2530,107303,107310,107556,110415,70,70,145709
71,55113,55191,334,107303,107310,107556,110416,71,71,145710
72,55113,55192,5376,107303,107310,107557,110417,72,72,145711
73,55113,55193,94,107303,107310,107586,110418,73,73,145712
74,55114,55194,89,107303,107310,107558,110419,74,74,145713
75,55113,55195,120,107303,107310,107558,110420,75,75,145714
76,55114,55196,53,107303,107310,107558,110421,76,76,145715
77,55113,55197,353,107303,107310,107559,110422,77,77,145716
78,55114,55198,409,107303,107310,107559,110423,78,78,145717
79,55114,55199,759,107303,107310,107587,110424,79,79,145718
80,55114,55200,4328,107303,107310,107561,110425,80,80,145719
81,55114,55201,984,107303,107310,107562,110426,81,81,145720
82,55113,55202,617,107303,107310,107563,110427,82,82,145721
83,55113,55203,924,107303,107310,107562,110428,83,83,145722
