
Partial clue set for [0, 0]:
  Key: 2082, Value: 1
  Key: 65570, Value: 1
  Key: 67584, Value: 1
  Key: 67616, Value: 1
  Key: 131104, Value: 1
  Key: 133122, Value: 1
  Key: 133157, Value: 1
  Key: 148101, Value: 1
  Key: 166152, Value: 1
  Key: 166408, Value: 1
  Key: 168096, Value: 1
  Key: 172448, Value: 1
  Key: 172680, Value: 1
  Key: 172682, Value: 1
  Key: 172711, Value: 1
  Key: 172712, Value: 1
  Key: 172714, Value: 1
  Key: 174087, Value: 1
  Key: 174728, Value: 1
  Key: 174730, Value: 1
Final clue set:
  Key: 2082, Value: 1
  Key: 65570, Value: 1
  Key: 67584, Value: 1
  Key: 67616, Value: 1
  Key: 131104, Value: 1
  Key: 133122, Value: 1
  Key: 133157, Value: 1
  Key: 148101, Value: 1
  Key: 166152, Value: 1
  Key: 166408, Value: 1
  Key: 168096, Value: 1
  Key: 172448, Value: 1
  Key: 172680, Value: 1
  Key: 172682, Value: 1
  Key: 172711, Value: 1
  Key: 172712, Value: 1
  Key: 172714, Value: 1
  Key: 174087, Value: 1
  Key: 174728, Value: 1
  Key: 174730, Value: 1
